TCS,2019-11-21,1972,2030,2129,1901,2135
TCS,2019-11-22,2061,2129,2108,2056,2170
TCS,2019-11-23,2179,2108,2177,2018,2248
TCS,2019-11-24,2146,2177,2186,2028,2223
TCS,2019-11-25,2155,2186,2254,2112,2270
TCS,2019-11-26,2184,2254,2236,2166,2314
TCS,2019-11-27,2198,2236,2223,2120,2300
TCS,2019-11-28,2252,2223,2243,2165,2292
TCS,2019-11-29,2280,2243,2127,2096,2305
TCS,2019-11-30,2152,2127,2100,1999,2226
TechMahindra,2019-11-21,1360,1300,1271,1232,1442
TechMahindra,2019-11-22,1231,1271,1292,1179,1350
TechMahindra,2019-11-23,1383,1292,1327,1239,1434
TechMahindra,2019-11-24,1351,1327,1476,1271,1477
TechMahindra,2019-11-25,1414,1476,1422,1400,1509
TechMahindra,2019-11-26,1510,1422,1499,1330,1553
TechMahindra,2019-11-27,1566,1499,1446,1412,1622
TechMahindra,2019-11-28,1479,1446,1456,1404,1489
TechMahindra,2019-11-29,1503,1456,1473,1329,1505
TechMahindra,2019-11-30,1402,1473,1453,1330,1542
